date,Alkalinity to pH 4.5 as CaCO3,Ammonia un-ionised as N,Nitrite as N,"Nitrogen, Total Oxidised as N","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",pH,date
2007-11-12,235.0,0.00047,0.013,7.89,0.179,11.2,94.8,8.1,2007-11-12
2007-12-10,196.0,0.00044,0.0199,6.36,0.111,11.4,94.2,8.1,2007-12-10
2008-01-16,137.0,0.00041,0.011,4.39,0.066,11.8,95.0,8.0,2008-01-16
2008-02-11,226.0,0.00042,0.0118,8.54,0.087,12.3,100.1,8.1,2008-02-11
2008-03-14,201.0,0.00048,0.0138,7.05,0.02,11.9,101.2,8.2,2008-03-14
2008-04-14,200.0,0.00052,0.0104,6.95,0.02,11.9,104.4,8.3,2008-04-14
2008-05-12,217.0,0.00101,0.0243,6.56,0.131,9.23,97.8,8.1,2008-05-12
2008-06-09,228.0,0.00092,0.0199,7.3,0.064,9.25,96.4,8.1,2008-06-09
2008-07-15,237.0,0.00099,0.0165,5.64,0.12,9.02,95.9,8.0,2008-07-15
2008-08-11,230.0,0.00084,0.0138,5.48,0.174,9.14,92.4,8.0,2008-08-11
2008-09-17,237.0,0.00071,0.0097,6.87,0.08,10.5,101.2,8.0,2008-09-17
2008-10-13,213.0,0.00065,0.0114,7.21,0.105,10.1,95.0,8.1,2008-10-13
2008-11-11,167.0,0.0004,0.0141,3.93,0.108,10.5,88.3,7.9,2008-11-11
2008-11-25,231.0,0.00035,0.0151,6.18,0.104,12.1,91.9,8.12,2008-11-25
2009-01-30,213.0,0.00033,0.0156,6.62,0.083,12.6,94.5,8.13,2009-01-30
2009-02-24,241.0,0.00049,0.0175,8.5,0.071,11.7,100.0,8.17,2009-02-24
2009-03-21,224.0,0.00055,0.0135,7.43,0.02,14.3,127.2,8.39,2009-03-21
2009-04-20,208.0,0.00049,0.0277,6.44,0.124,10.4,94.4,7.92,2009-04-20
2009-05-16,225.0,0.00121,0.0349,5.87,0.192,10.2,96.3,8.15,2009-05-16
2009-06-06,219.0,0.0012,0.0366,4.87,0.202,8.9,87.8,8.19,2009-06-06
2009-07-11,203.0,0.00088,0.0123,4.3,0.271,9.44,97.0,8.07,2009-07-11
2009-08-08,162.0,0.00206,0.0294,5.03,0.214,0.761,7.76,8.06,2009-08-08
2009-09-14,215.0,0.00076,0.0067,4.14,0.224,10.5,103.6,8.15,2009-09-14
2009-10-20,222.0,0.00052,0.0068,4.45,0.341,11.5,100.2,8.13,2009-10-20
2009-11-24,165.0,0.00125,0.0215,5.25,0.103,10.4,92.5,7.98,2009-11-24
2009-12-01,180.0,0.00048,0.0145,5.57,0.105,11.7,94.1,8.09,2009-12-01
2010-02-02,229.0,0.00041,0.0153,8.24,0.07,12.2,96.6,8.14,2010-02-02
2010-02-24,223.0,0.00036,0.0129,7.07,0.098,12.5,100.0,7.96,2010-02-24
2010-03-25,215.0,0.00057,0.0202,6.7,0.052,10.6,94.9,8.11,2010-03-25
2010-04-16,222.0,0.00055,0.0101,7.1,0.02,12.5,110.7,8.36,2010-04-16
2010-06-01,219.0,0.00079,0.0263,5.73,0.15,9.53,93.1,8.01,2010-06-01
2010-06-25,215.0,0.00113,0.0164,4.77,0.162,9.56,105.3,8.06,2010-06-25
2010-07-16,204.0,0.0009,0.0123,4.32,0.249,9.1,94.2,8.09,2010-07-16
2010-08-19,195.0,0.00087,0.0073,3.58,0.244,9.13,93.3,8.23,2010-08-19
2010-09-20,194.0,0.00061,0.0051,4.53,0.342,9.77,93.8,7.94,2010-09-20
2010-10-18,203.0,0.00052,0.0079,5.05,0.227,11.7,102.0,8.27,2010-10-18
2010-10-30,213.0,0.00056,0.009,5.03,0.237,10.9,97.5,8.22,2010-10-30
2010-11-27,222.0,0.00033,0.0144,6.3,0.162,13.3,99.2,8.02,2010-11-27
2011-01-15,189.0,0.00054,0.0234,6.62,0.09,11.4,95.3,7.94,2011-01-15
2011-02-12,231.0,0.0005,0.015,7.66,0.126,11.6,99.9,8.23,2011-02-12
2011-03-22,210.0,0.00056,0.0113,7.12,0.02,13.4,120.0,8.34,2011-03-22
2011-04-13,216.0,0.00058,0.0159,5.95,0.13,10.9,98.8,8.3,2011-04-13
2011-05-13,204.0,0.00081,0.0282,4.37,0.215,9.58,92.6,8.1,2011-05-13
2011-06-08,210.0,0.00072,0.02,4.33,0.228,9.76,94.3,8.13,2011-06-08
2011-07-13,207.0,0.00088,0.0111,3.6,0.298,9.28,95.3,8.15,2011-07-13
2011-08-18,212.0,0.00086,0.0114,3.39,0.338,8.83,86.7,8.06,2011-08-18
2011-09-12,209.0,0.00085,0.0109,3.97,0.374,9.21,93.5,8.11,2011-09-12
2011-10-23,219.0,0.0006,0.0061,4.25,0.475,11.1,101.0,8.16,2011-10-23
2011-11-11,216.0,0.00052,0.0095,3.63,0.445,9.61,86.3,7.96,2011-11-11
2011-12-07,219.0,0.00037,0.0078,5.33,0.523,12.4,96.4,8.15,2011-12-07
2012-01-13,223.0,0.0004,0.0152,5.16,0.206,11.9,96.4,7.98,2012-01-13
2012-02-15,205.0,0.00042,0.0135,6.13,0.157,12.5,101.2,8.21,2012-02-15
2012-03-26,198.0,0.00061,0.0122,4.78,0.112,11.9,109.1,8.28,2012-03-26
2012-04-24,191.0,0.00056,0.0226,4.5,0.227,9.49,85.0,8.15,2012-04-24
2012-05-03,179.0,0.00095,0.0248,4.95,0.085,9.19,81.0,8.04,2012-05-03
2012-05-28,203.0,0.00104,0.0283,6.66,0.088,7.1,76.6,8.18,2012-05-28
2012-07-05,219.0,0.0008,0.04,4.62,0.17,8.4,85.0,7.98,2012-07-05
2012-07-30,227.0,0.00085,0.0228,5.42,0.105,7.83,79.5,8.13,2012-07-30
2012-09-04,226.0,0.00074,0.012,4.83,0.146,8.59,86.0,7.96,2012-09-04
2012-09-25,186.0,0.00145,0.0275,7.95,0.262,8.48,78.0,8.04,2012-09-25
2012-10-23,239.0,0.00061,0.0176,6.46,0.087,9.81,90.0,8.06,2012-10-23
2012-11-28,212.0,0.00043,0.0144,6.52,0.087,10.2,83.0,8.09,2012-11-28
2013-01-16,212.0,0.00044,0.0183,6.22,0.097,11.4,86.0,8.11,2013-01-16
2013-02-05,236.0,0.0004,0.0145,8.28,0.06,10.6,85.0,8.16,2013-02-05
2013-03-06,235.0,0.00042,0.0131,8.14,0.062,10.6,86.0,8.28,2013-03-06
2013-04-04,231.0,0.00037,0.0102,8.12,0.038,10.7,83.0,8.14,2013-04-04
2013-05-15,204.0,0.00105,0.0348,5.72,0.131,9.08,80.0,7.97,2013-05-15
2013-05-22,212.0,0.00155,0.0429,5.61,0.124,8.51,79.0,7.97,2013-05-22
2013-06-27,220.0,0.0008,0.0205,5.09,0.187,8.01,80.0,8.06,2013-06-27
2013-08-09,201.0,0.00089,0.0083,3.64,0.248,8.26,85.0,8.0,2013-08-09
2013-09-19,205.0,0.00061,0.0083,4.38,0.314,9.35,86.0,8.02,2013-09-19
2013-10-02,217.0,0.00071,0.0085,4.52,0.333,8.52,82.0,8.01,2013-10-02
2013-11-06,170.0,0.00051,0.0103,6.01,0.126,9.92,86.0,8.13,2013-11-06
2013-11-26,230.0,0.00039,0.0152,6.63,0.139,11.1,88.0,8.12,2013-11-26
2014-01-22,215.0,0.00038,0.0128,8.07,0.068,12.4,101.5,7.95,2014-01-22
2014-02-12,208.0,0.00038,0.0131,7.49,0.043,11.3,89.0,8.09,2014-02-12
2014-03-06,215.0,0.0007,0.0138,6.74,0.058,11.2,93.0,8.01,2014-03-06
2014-04-11,210.0,0.0006,0.0195,6.33,0.02,10.2,93.0,8.12,2014-04-11
2014-05-15,221.0,0.00072,0.0201,5.1,0.122,8.78,85.0,8.1,2014-05-15
2014-06-04,220.0,0.00079,0.0153,4.49,0.113,8.55,85.0,8.11,2014-06-04
2014-07-02,210.0,0.00085,0.0118,4.16,0.177,8.55,87.0,8.17,2014-07-02
2014-08-29,178.0,0.00082,0.0147,4.31,0.271,7.2,72.4,8.05,2014-08-29
2014-09-26,212.0,0.00085,0.0072,4.38,0.312,8.19,83.4,8.15,2014-09-26
2014-10-16,158.0,0.00083,0.0266,10.0,0.289,9.05,84.0,7.88,2014-10-16
2014-11-06,202.0,0.00049,0.0186,5.11,0.276,9.95,85.0,8.03,2014-11-06
2014-11-25,187.0,0.00044,0.0128,5.74,0.128,10.5,86.2,8.09,2014-11-25
2015-01-08,226.0,0.00045,0.0166,6.4,0.128,10.6,88.6,8.11,2015-01-08
2015-02-17,227.0,0.00039,0.0222,6.57,0.147,11.5,91.1,8.17,2015-02-17
2015-03-19,221.0,0.00045,0.0094,6.55,0.095,11.3,94.5,8.04,2015-03-19
2015-04-30,217.0,0.00062,0.0201,5.01,0.128,9.05,83.8,8.3,2015-04-30
2015-05-20,210.0,0.00072,0.0186,4.6,0.199,8.2,79.4,8.14,2015-05-20
2015-06-08,216.0,0.00087,0.0192,3.74,0.218,7.98,81.6,8.0,2015-06-08
2015-07-23,213.0,0.00117,0.0117,3.34,0.312,7.4,75.5,8.03,2015-07-23
2015-08-06,203.0,0.00089,0.0088,3.39,0.309,7.76,79.8,8.08,2015-08-06
2015-09-09,189.0,0.00069,0.0163,3.0,0.283,7.02,67.2,7.89,2015-09-09
2015-10-28,218.0,0.00052,0.0156,4.4,0.478,8.34,76.1,7.94,2015-10-28
2015-11-13,211.0,0.00058,0.0223,4.09,0.245,8.77,79.1,8.01,2015-11-13
2015-11-25,220.0,0.00051,0.0181,4.77,0.217,10.0,87.3,8.07,2015-11-25
2016-01-14,213.0,0.00039,0.0145,7.21,0.077,10.6,84.5,8.13,2016-01-14
2016-03-04,223.0,0.00042,0.0065,7.05,0.095,13.3,108.5,8.35,2016-03-04
2016-04-22,214.0,0.00057,0.0128,6.33,0.036,11.8,106.2,8.38,2016-04-22
2016-05-17,216.0,0.00072,0.0213,5.38,0.118,9.17,88.8,8.04,2016-05-17
2016-07-12,216.0,0.0009,0.0126,4.33,0.169,8.57,88.7,8.13,2016-07-12
2016-08-11,215.0,0.00079,0.0066,3.66,0.242,8.77,87.4,8.02,2016-08-11
2016-09-26,224.0,0.00072,0.0078,4.49,0.271,8.95,86.7,8.0,2016-09-26
2016-11-22,190.0,0.00064,0.0242,8.02,0.249,10.2,84.4,7.87,2016-11-22
2016-12-13,171.0,0.00047,0.0241,9.52,0.147,10.4,87.2,7.88,2016-12-13
2017-02-16,226.0,0.00043,0.0144,7.9,0.095,11.7,96.0,8.14,2017-02-16
2017-03-13,220.0,0.00057,0.015,6.97,0.085,12.0,107.4,8.3,2017-03-13
2017-04-05,219.0,0.00059,0.0143,6.09,0.049,11.7,105.9,8.24,2017-04-05
2017-06-02,211.0,0.001,0.0211,4.49,0.188,8.09,83.7,7.99,2017-06-02
2017-07-11,213.0,0.00077,0.0106,3.47,0.235,7.92,83.0,7.91,2017-07-11
2017-10-25,225.0,0.00059,0.0178,5.13,0.386,8.56,82.0,7.93,2017-10-25
2017-11-17,209.0,0.00046,0.0077,5.69,0.259,11.5,95.9,8.06,2017-11-17
2017-12-12,222.0,0.00029,0.0206,5.65,0.247,12.6,90.2,8.23,2017-12-12
2018-01-02,198.0,0.00068,0.0189,8.06,0.085,11.5,92.3,8.25,2018-01-02
2018-02-02,233.0,0.00041,0.011,8.19,0.079,11.6,93.7,8.19,2018-02-02
2018-03-21,222.0,0.00043,0.01,7.78,0.054,12.7,104.1,8.24,2018-03-21
2018-05-24,219.0,0.00067,0.0313,6.02,0.105,8.22,80.5,7.95,2018-05-24
2018-06-21,221.0,0.00087,0.019,5.75,0.117,9.62,98.5,8.09,2018-06-21
2018-07-30,191.0,0.00077,0.0168,4.37,0.232,8.14,85.9,7.83,2018-07-30
2018-09-06,209.0,0.00082,0.0084,5.4,0.276,8.8,88.4,8.18,2018-09-06
2018-10-18,174.0,0.00076,0.0405,3.77,0.283,9.22,86.3,7.91,2018-10-18
2018-11-13,208.0,0.00049,0.0104,7.05,0.446,10.1,86.8,8.04,2018-11-13
2019-01-16,212.0,0.00045,0.0105,7.71,0.175,11.3,94.1,8.08,2019-01-16
2019-02-18,220.0,0.00046,0.0102,8.63,0.108,10.8,90.5,8.25,2019-02-18
2019-04-03,204.0,0.00033,0.0104,7.05,0.075,12.5,93.3,8.11,2019-04-03
2019-05-07,193.0,0.00058,0.0167,6.03,0.183,10.6,96.1,8.19,2019-05-07
2019-06-17,173.0,0.00062,0.0164,3.73,0.159,7.8,77.2,7.9,2019-06-17
2021-05-12,200.0,0.00062,0.025,6.4,0.14,8.79,81.2,8.08,2021-05-12
2021-06-08,220.0,0.00083,0.023,6.5,0.11,9.58,100.6,7.94,2021-06-08
2021-07-12,210.0,0.00087,0.016,5.4,0.2,9.16,96.8,7.95,2021-07-12
2021-08-03,220.0,0.00083,0.013,4.9,0.23,9.2,94.0,7.98,2021-08-03
2021-09-20,210.0,0.00074,0.0079,4.6,0.29,8.35,81.9,7.99,2021-09-20
2021-10-06,190.0,0.00064,0.0075,4.7,0.24,9.77,91.3,8.0,2021-10-06
2021-11-04,190.0,0.00048,0.0086,5.1,0.14,10.5,89.4,8.05,2021-11-04
2021-12-01,220.0,0.00042,0.0078,6.0,0.2,11.8,95.8,8.15,2021-12-01
2022-01-11,230.0,0.00043,0.013,7.4,0.086,11.6,95.2,8.09,2022-01-11
2022-02-09,220.0,0.00049,0.0078,6.9,0.13,10.9,93.2,8.26,2022-02-09
2022-03-04,210.0,0.00047,0.012,6.8,0.094,11.4,96.3,8.14,2022-03-04
2023-05-23,230.0,0.00079,0.017,6.3,0.082,10.8,207.2,16.16,2023-05-23
2023-07-18,200.0,0.00066,0.0078,4.2,0.19,8.36,84.7,7.89,2023-07-18
2000-01-17,210.0,0.001,0.005,8.53,0.02,10.3,88.8,7.7,2000-01-17
2000-01-26,212.0,0.001,0.006,8.27,0.027,10.67,90.5,7.7,2000-01-26
2000-02-14,196.0,0.001,0.004,8.3,0.02,11.08,94.6,7.8,2000-02-14
2000-03-15,202.0,0.001,0.004,9.24,0.032,11.85,103.6,7.8,2000-03-15
2000-04-19,223.0,0.001,0.008,7.45,0.02,11.1,99.9,8.2,2000-04-19
2000-05-08,215.0,0.001,0.004,8.41,0.02,10.02,89.9,7.6,2000-05-08
2000-06-12,211.0,0.006,0.009,8.14,0.02,10.1,96.0,8.0,2000-06-12
2000-07-18,205.0,0.001,0.014,8.01,0.029,7.34,70.2,7.9,2000-07-18
2000-08-14,185.0,0.0008,0.023,6.08,0.047,9.25,93.2,8.0,2000-08-14
2000-10-18,211.0,0.0006,0.017,8.13,0.05,9.82,89.1,8.1,2000-10-18
2000-11-12,208.0,0.0003,0.005,8.3,0.02,10.3,89.4,7.7,2000-11-12
2000-11-22,206.0,0.0003,0.006,7.94,0.02,9.64,83.4,7.7,2000-11-22
2001-03-16,204.0,0.0003,0.004,8.06,0.02,11.7,101.2,7.7,2001-03-16
2001-06-11,206.0,0.0002,0.0056,8.11,0.02,9.9,88.7,7.6,2001-06-11
2001-09-14,172.0,0.0008,0.021,7.37,0.071,11.3,105.1,8.4,2001-09-14
2001-10-25,209.0,0.0008,0.0203,5.34,0.076,10.3,95.5,8.3,2001-10-25
2002-01-18,210.0,0.0003,0.0102,8.02,0.042,11.0,88.9,7.9,2002-01-18
2002-02-12,217.0,0.0003,0.006,8.29,0.01,10.6,93.6,7.8,2002-02-12
2002-05-14,209.0,0.0009,0.0419,6.64,0.093,10.8,98.5,8.2,2002-05-14
2002-06-13,200.0,0.0004,0.0093,7.85,0.045,10.1,91.8,7.8,2002-06-13
2002-06-24,190.0,0.0003,0.0093,8.0,0.02,11.0,102.3,7.6,2002-06-24
2002-07-17,199.0,0.0007,0.022,7.01,0.045,8.93,89.2,7.92,2002-07-17
2002-08-13,197.0,0.0015,0.0288,6.73,0.048,9.34,97.6,8.32,2002-08-13
2002-09-13,186.0,0.0008,0.0195,5.99,0.161,9.43,94.0,8.04,2002-09-13
2002-09-30,187.0,0.0013,0.028,6.51,0.07,9.61,90.9,7.8,2002-09-30
2002-10-20,210.0,0.0004,0.0104,9.06,0.162,7.52,60.7,8.13,2002-10-20
2002-11-20,214.0,0.00018,0.0061,8.45,0.02,10.5,91.2,7.55,2002-11-20
2002-12-12,210.0,0.00039,0.0069,8.21,0.02,10.8,90.5,7.9,2002-12-12
2003-01-15,214.0,0.00038,0.0063,8.09,0.02,10.6,92.0,7.87,2003-01-15
2003-02-10,219.0,0.00023,0.0087,7.93,0.02,10.7,90.0,7.58,2003-02-10
2003-05-02,195.0,0.00037,0.01,8.08,0.02,10.3,91.5,7.82,2003-05-02
2003-05-12,186.0,0.00024,0.0081,8.04,0.02,10.3,91.7,7.64,2003-05-12
2003-06-19,180.0,0.00144,0.0251,6.89,0.06,9.52,101.6,8.04,2003-06-19
2003-06-23,165.0,0.00199,0.0356,6.11,0.07,10.7,118.7,8.25,2003-06-23
2003-07-16,173.0,0.00349,0.0703,5.28,0.06,7.28,78.5,7.93,2003-07-16
2003-08-11,164.0,0.00229,0.0415,4.61,0.04,8.64,101.5,8.15,2003-08-11
2003-09-08,173.0,0.00077,0.0271,6.37,0.06,10.5,98.1,7.7,2003-09-08
2003-10-21,184.0,0.00033,0.0148,6.19,0.03,11.7,87.3,8.12,2003-10-21
2003-11-13,200.0,0.00045,0.0236,5.76,0.08,10.0,83.5,8.03,2003-11-13
2007-02-12,227.0,0.0002,0.004,7.75,0.02,10.4,91.1,7.58,2007-02-12
2007-03-12,209.0,0.00022,0.004,8.41,0.02,10.9,96.4,7.6,2007-03-12
2007-04-16,194.0,0.00029,0.004,7.28,0.02,10.2,96.9,7.63,2007-04-16
2007-05-14,214.0,0.00023,0.009,7.43,0.02,9.78,87.9,7.6,2007-05-14
2007-06-11,198.0,0.00027,0.0115,7.32,0.02,9.61,92.3,7.58,2007-06-11
2007-07-17,214.0,0.00023,0.0044,7.62,0.02,9.91,90.4,7.59,2007-07-17
2007-08-13,221.0,0.00026,0.0054,7.54,0.02,9.75,90.7,7.6,2007-08-13
2007-09-25,261.0,0.00016,0.0074,7.34,0.02,9.55,84.8,7.45,2007-09-25
2007-10-15,217.0,0.00028,0.0081,7.51,0.02,11.0,97.8,7.7,2007-10-15
2007-11-16,206.0,0.00029,0.0064,7.58,0.02,10.3,85.5,7.63,2007-11-16
2007-12-11,212.0,0.00015,0.0049,7.99,0.02,11.0,90.2,7.52,2007-12-11
2008-01-14,224.0,0.00025,0.0058,7.58,0.02,10.6,90.7,7.7,2008-01-14
2008-02-11,213.0,0.00026,0.0049,7.72,0.02,10.4,90.4,7.7,2008-02-11
2008-03-10,213.0,0.00024,0.004,7.66,0.02,9.82,84.6,7.68,2008-03-10
2008-04-20,201.0,0.00025,0.004,7.63,0.02,9.59,83.5,7.68,2008-04-20
2008-05-14,207.0,0.00023,0.0047,7.37,0.02,9.95,91.6,7.56,2008-05-14
2008-06-09,206.0,0.00029,0.006,7.6,0.02,9.76,91.5,7.65,2008-06-09
2008-07-15,206.0,0.00058,0.0077,7.14,0.02,10.1,98.5,7.89,2008-07-15
2008-08-15,192.0,0.0005,0.0084,6.15,0.021,10.2,93.8,7.91,2008-08-15
2008-09-19,208.0,0.00023,0.0046,7.61,0.02,9.74,85.5,7.63,2008-09-19
2008-10-14,210.0,0.00019,0.0044,7.56,0.02,9.35,84.2,7.52,2008-10-14
2008-11-13,213.0,0.00028,0.0058,7.95,0.02,10.4,87.7,7.77,2008-11-13
2008-11-28,219.0,0.00026,0.0049,7.74,0.02,10.5,88.8,7.74,2008-11-28
2009-01-27,219.0,0.00031,0.004,7.49,0.02,10.8,90.1,7.83,2009-01-27
2009-02-25,212.0,0.00031,0.004,8.02,0.02,10.8,94.2,7.77,2009-02-25
2009-03-17,212.0,0.00021,0.004,7.48,0.02,10.7,93.2,7.61,2009-03-17
2009-04-22,212.0,0.00026,0.004,7.65,0.02,9.96,88.2,7.67,2009-04-22
2009-05-18,213.0,0.00026,0.0109,6.78,0.02,10.5,94.9,7.65,2009-05-18
2009-06-10,185.0,0.00046,0.0176,5.86,0.033,12.6,105.5,8.4,2009-06-10
2009-07-25,184.0,0.00086,0.0129,5.02,0.039,10.8,110.1,8.36,2009-07-25
2009-08-08,207.0,0.00076,0.0082,3.55,0.082,10.4,102.6,8.29,2009-08-08
2009-09-14,193.0,0.00068,0.0061,5.58,0.034,10.1,96.2,8.3,2009-09-14
2009-10-23,207.0,0.00055,0.0059,5.12,0.054,10.5,93.6,8.12,2009-10-23
2009-11-23,206.0,0.00043,0.0098,6.06,0.038,9.87,87.0,7.9,2009-11-23
2009-12-01,218.0,0.00024,0.004,7.36,0.02,10.4,86.7,7.72,2009-12-01
2010-01-22,220.0,0.0003,0.004,7.11,0.02,10.6,91.1,7.78,2010-01-22
2010-03-05,216.0,0.00019,0.004,7.7,0.02,11.6,95.9,7.63,2010-03-05
2010-03-26,217.0,0.00026,0.0051,6.96,0.02,10.6,92.0,7.7,2010-03-26
2010-04-29,223.0,0.0004,0.004,7.04,0.02,10.6,95.2,7.84,2010-04-29
2010-05-25,199.0,0.00039,0.01,7.02,0.02,10.1,95.2,7.77,2010-05-25
2010-06-28,186.0,0.00121,0.0159,6.28,0.027,10.3,107.0,8.17,2010-06-28
2010-07-13,182.0,0.00073,0.0148,5.81,0.023,9.24,93.6,7.94,2010-07-13
2010-08-18,179.0,0.00079,0.0102,5.2,0.035,10.2,101.8,8.54,2010-08-18
2010-09-22,180.0,0.00039,0.0063,5.63,0.036,10.6,100.4,7.76,2010-09-22
2010-10-20,202.0,0.00042,0.004,6.19,0.08,11.9,97.2,8.3,2010-10-20
2010-11-17,214.0,0.00037,0.0056,6.94,0.044,12.6,97.7,8.14,2010-11-17
2010-12-13,203.0,0.00031,0.0095,6.67,0.065,14.1,103.1,8.49,2010-12-13
2011-01-15,216.0,0.00018,0.0058,7.24,0.02,10.0,85.2,7.56,2011-01-15
2011-02-18,225.0,0.0002,0.0055,7.15,0.02,10.4,88.2,7.62,2011-02-18
2011-03-23,212.0,0.00039,0.004,7.39,0.02,11.3,102.8,7.82,2011-03-23
2011-04-14,220.0,0.00015,0.0086,7.17,0.02,10.2,89.4,7.45,2011-04-14
2011-05-11,189.0,0.00066,0.0164,6.06,0.04,10.9,103.0,8.19,2011-05-11
